"STT","Phase","Priority","Module","Task","Owner","Deadline","Estimate","API related","Deliverable","Status","Dependencies","Notes"
"23","MVP Core","P0","Order Success","Trang dat hang thanh cong","FE-03","2026-05-15","0.5 day","POST /api/v1/checkout; GET /api/v1/orders/:code","Hien ma don, tong tien, thong tin thanh toan, CTA ve trang chu","Todo","Checkout","Can luu orderCode tu checkout response"
"24","MVP Core","P0","Order Tracking","Trang xem don bang ma don","FE-03","2026-05-16","0.5 day","GET /api/v1/orders/:code","Khach xem trang thai don va thong tin don","Todo","Order Success","Route /orders/:code"
"25","MVP Core","P0","Responsive QA","Kiem tra mobile cho homepage, list, detail, cart, checkout","ALL FE","2026-05-16","0.5 day","All public APIs","Khong vo layout tren mobile/tablet/desktop","Todo","All MVP pages","Uu tien iPhone width va desktop"
"26","MVP Core","P0","Integration QA","Test flow mua hang end-to-end","ALL FE","2026-05-16","0.5 day","Products; Cart; Checkout; Orders","Flow trang chu -> product -> cart -> checkout -> success chay duoc","Todo","All MVP pages","Ghi bug ro owner"
"27","MVP Core","P0","Deploy Preview","Deploy client preview cho test noi bo","FE-01","2026-05-16","0.5 day","ENV API base URL","Co link preview de test","Todo","MVP pages","Can set env API URL dung"
"28","MVP Plus","P1","Blog","Trang danh sach blog","FE-04","2026-05-17","0.5 day","GET /api/v1/blog","List bai viet, anh, title, excerpt, pagination","Todo","API client","Lam sau flow mua hang"
"29","MVP Plus","P1","Blog","Trang chi tiet blog","FE-04","2026-05-17","0.5 day","GET /api/v1/blog/:slug","Render noi dung bai viet, SEO co ban","Todo","Blog list","Can style noi dung doc duoc"
"30","MVP Plus","P1","Static Page","Trang lien he","FE-04","2026-05-17","0.5 day","GET /api/v1/settings/public","Hien hotline, dia chi, Zalo, Facebook, Google Maps","Todo","Settings public","Form contact co the de sau neu API chua co"
"31","MVP Plus","P1","Static Page","Trang chinh sach co ban","FE-04","2026-05-18","0.5 day","Settings/Page APIs if available","Chinh sach van chuyen, bao hanh, doi tra, bao mat","Todo","Content source","Neu chua co API thi render static tam"
"32","MVP Plus","P1","SEO Rendering","SEO cho homepage, product list, product detail","FE-04","2026-05-18","1 day","GET /api/v1/products/:slug; GET /api/v1/homepage","Meta title, description, canonical, OG image, product schema basic","Todo","Product Detail; Homepage","Uu tien product detail SEO"
"33","MVP Plus","P1","SEO Rendering","SEO cho blog va static pages","FE-04","2026-05-18","0.5 day","GET /api/v1/blog/:slug","Meta/OG/canonical cho blog","Todo","Blog detail","Lam sau product SEO"
"34","MVP Plus","P1","Sitemap Robots Link","Kiem tra sitemap va robots","FE-04","2026-05-18","0.25 day","GET /api/v1/sitemap.xml; GET /api/v1/robots.txt","Xac nhan frontend/deploy khong chan sitemap robots","Todo","Deploy preview","Backend tra raw XML/text"
"35","MVP Plus","P1","UX Polish","Chuan hoa loading, toast, confirm, error message","ALL FE","2026-05-19","0.5 day","All APIs","UX dong nhat, loi hien de hieu","Todo","MVP complete","Lam sau khi flow chay"
"36","MVP Plus","P1","Performance Basic","Toi uu anh va lazy load","FE-01","2026-05-19","0.5 day","Media URLs","Anh san pham/homepage lazy load, fallback no image","Todo","All pages","Khong block MVP"
"37","MVP Plus","P1","Accessibility Basic","Kiem tra alt, button label, form label","FE-04","2026-05-19","0.5 day","All pages","Co alt anh, label form checkout, focus state co ban","Todo","MVP complete","Can cho SEO/accessibility"
"38","Post MVP","P2","Wishlist","Them/xoa san pham yeu thich","FE-02","After MVP","1 day","Wishlist APIs later","Wishlist theo session/user","Backlog","Backend API later","Khong lam trong MVP gap"
"39","Post MVP","P2","Review","Hien review va gui review","FE-04","After MVP","1 day","Review APIs later","Khach xem/gui danh gia, cho duyet","Backlog","Backend API later","Khong lam trong MVP gap"
"40","Post MVP","P2","Customer Account","Dang ky/dang nhap khach hang","FE-03","After MVP","2 days","Customer auth APIs later","Tai khoan khach, profile, dia chi, lich su don","Backlog","Backend API later","Guest checkout la MVP"
"41","Post MVP","P2","Promotion","Ma giam gia","FE-03","After MVP","1 day","Coupon APIs later","Nhap coupon, hien discount","Backlog","Backend API later","Backend tinh discount"
"42","Post MVP","P2","Online Payment","Cong thanh toan online","FE-03","After MVP","2 days","Payment gateway APIs later","VNPay/MoMo/PayOS neu tich hop","Backlog","Backend gateway later","COD/bank transfer la MVP"
"43","Post MVP","P2","Chatbot","Nhung chatbot tu van","FE-05","After MVP","2 days","Chatbot API/widget later","Chat widget hoi dap san pham, chinh sach, dat hang","Backlog","Chatbot backend later","Lam sau khi MVP ban hang on dinh"
"44","Post MVP","P2","Recommendation","He thong goi y san pham","FE-05","After MVP","2 days","Recommendation API later","Section san pham goi y tren detail/cart/home","Backlog","Recommendation backend later","Ban dau co the dung related/manual"
"45","Post MVP","P2","Telegram Notification","Thong bao don hang qua Telegram","BE/Integration","After MVP","1 day","Notification webhook later","Don moi gui Telegram cho shop","Backlog","Backend notification later","Khong thuoc client chinh"
"46","Excluded","N/A","Admin Dashboard","Khong chia trong sheet nay","OWNER","N/A","N/A","Admin APIs","Dashboard do chu project dang lam rieng","Excluded","N/A","Sheet nay chi chia client web ban hang"
